meter_id,locality,feeder_id,category,lat,lon,flag_status,confidence_score,anomaly_type,explanation_text,shap_top_feature_1,shap_top_feature_2,shap_top_feature_3,days_anomalous,personal_baseline_kwh,peer_baseline_kwh,deviation_pct
MET_018,Jayanagar,F01,Residential,12.927463917690302,77.59831588917089,NORMAL,50,NORMAL,Meter MET_018 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,22,0.41577986490857666,0.41577986490857666,0.0
MET_019,Jayanagar,F01,Commercial,12.92454421016938,77.59043937409216,FLAGGED,100,FEEDER_LOSS,Meter MET_019 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,z_personal,44,0.5521138235819735,0.5521138235819735,0.0
MET_020,Jayanagar,F01,Residential,12.921702075137237,77.5964023711513,NORMAL,50,NORMAL,Meter MET_020 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,19,0.41526512754723494,0.41526512754723494,0.0
MET_021,Jayanagar,F01,Residential,12.927973016684817,77.59597261707322,NORMAL,50,NORMAL,Meter MET_021 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,14,0.4151996111777155,0.4151996111777155,0.0
MET_022,Jayanagar,F01,Industrial,12.922337961170848,77.59472864529226,FLAGGED,100,FEEDER_LOSS,Meter MET_022 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,z_personal,27,1.44054985237471,1.44054985237471,0.0
MET_023,Jayanagar,F01,Residential,12.925466743236564,77.59467475438692,NORMAL,50,NORMAL,Meter MET_023 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,28,0.41515562068208484,0.41515562068208484,0.0
MET_024,Jayanagar,F01,Residential,12.928485715111794,77.5946943821951,NORMAL,50,NORMAL,Meter MET_024 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,32,0.41560547249552343,0.4156054724955234,1.3356694005480343e-14
MET_025,Jayanagar,F01,Commercial,12.927715654252289,77.59407031627796,FLAGGED,100,FEEDER_LOSS,Meter MET_025 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,z_personal,41,0.5521126968265531,0.5521126968265531,0.0
MET_026,Jayanagar,F01,Residential,12.92615647759476,77.59632515290336,FLAGGED,100,FEEDER_LOSS,Meter MET_026 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,26,0.41585030678873536,0.41585030678873536,0.0
MET_027,Jayanagar,F01,Residential,12.91917137672058,77.59252131513458,FLAGGED,100,FEEDER_LOSS,Meter MET_027 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,hour_of_day,20,0.4156299551170214,0.4156299551170214,0.0
MET_028,Jayanagar,F01,Commercial,12.92311850938283,77.59124448860703,FLAGGED,100,FEEDER_LOSS,Meter MET_028 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,hour_of_day,39,0.5517518473952711,0.5517518473952711,0.0
MET_029,Jayanagar,F01,Industrial,12.923899430995094,77.59977976524493,FLAGGED,100,FEEDER_LOSS,Meter MET_029 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,rolling_mean_24h,27,1.440833295886891,1.440833295886891,0.0
MET_030,Jayanagar,F01,Residential,12.921536675537228,77.59767311341837,FLAGGED,100,FEEDER_LOSS,Meter MET_030 flagged: stages IF/peer/feeder = 1/1/1. Personal baseline ~0.35 kWh/interval vs peer cluster ~0.35 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,rolling_mean_24h,day_of_week,11,0.34680839855270384,0.34680839855270384,0.0
MET_031,Jayanagar,F01,Commercial,12.918268520913538,77.59246045988006,FLAGGED,100,FEEDER_LOSS,Meter MET_031 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,rolling_mean_24h,34,0.5516009147398311,0.551600914739831,2.0127287590681503e-14
MET_032,Jayanagar,F01,Residential,12.92565101226042,77.59614488932544,NORMAL,50,NORMAL,Meter MET_032 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,23,0.41541515503632537,0.4154151550363254,-1.3362813214266034e-14
MET_033,Jayanagar,F01,Residential,12.927844906319171,77.5969733889408,NORMAL,50,NORMAL,Meter MET_033 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,30,0.41587695510734296,0.4158769551073429,1.3347974815514776e-14
MET_034,Jayanagar,F01,Commercial,12.923605099711008,77.59195059282935,FLAGGED,100,FEEDER_LOSS,Meter MET_034 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,consumption_kwh,rolling_std_7d,44,0.5518736390014296,0.5518736390014295,2.0117341111527176e-14
MET_035,Jayanagar,F01,Residential,12.928431903525029,77.59303478270047,NORMAL,50,NORMAL,Meter MET_035 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,18,0.4150605968709933,0.4150605968709932,1.3374228160836835e-14
MET_036,Jayanagar,F01,Industrial,12.91989725470665,77.58926685114399,FLAGGED,100,FEEDER_LOSS,Meter MET_036 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,z_personal,28,1.4416740742382264,1.4416740742382266,-1.5401858776045383e-14
MET_037,Jayanagar,F01,Commercial,12.921322190855994,77.59578864297622,FLAGGED,100,FEEDER_LOSS,Meter MET_037 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,37,0.5516516323176297,0.5516516323176298,-2.0125437134316547e-14
MET_038,Jayanagar,F01,Residential,12.925569702944284,77.59656194141627,NORMAL,50,NORMAL,Meter MET_038 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,30,0.41534243448513214,0.41534243448513214,0.0
MET_039,Jayanagar,F01,Residential,12.923290989414657,77.59443415876432,NORMAL,50,NORMAL,Meter MET_039 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.41 kWh/interval vs peer cluster ~0.41 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,24,0.4149380463469719,0.4149380463469719,0.0
MET_040,Jayanagar,F01,Commercial,12.92750236157587,77.59256261384112,FLAGGED,100,FEEDER_LOSS,Meter MET_040 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,rolling_mean_24h,41,0.5518092698227385,0.5518092698227385,0.0
MET_041,Jayanagar,F01,Residential,12.92682710095023,77.59115229623573,NORMAL,50,NORMAL,Meter MET_041 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,23,0.4152775634872958,0.4152775634872958,0.0
MET_042,Jayanagar,F01,Residential,12.92354778461374,77.592273048424,NORMAL,50,NORMAL,Meter MET_042 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,30,0.41530004257159947,0.41530004257159947,0.0
MET_043,Jayanagar,F01,Industrial,12.920216641417644,77.59574788992315,FLAGGED,100,FEEDER_LOSS,Meter MET_043 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,z_personal,25,1.4415873278367972,1.4415873278367972,0.0
MET_044,Jayanagar,F01,Residential,12.92312239063919,77.59384997647491,FLAGGED,100,FEEDER_LOSS,Meter MET_044 flagged: stages IF/peer/feeder = 1/1/1. Personal baseline ~0.36 kWh/interval vs peer cluster ~0.36 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,rolling_std_7d,rolling_mean_24h,day_of_week,15,0.356996227951575,0.356996227951575,0.0
MET_045,Jayanagar,F01,Residential,12.926922986635624,77.59558612470413,NORMAL,50,NORMAL,Meter MET_045 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,31,0.415577982143566,0.41557798214356595,1.3357577546560418e-14
MET_046,Jayanagar,F01,Commercial,12.927661540435892,77.59340605806196,FLAGGED,100,FEEDER_LOSS,Meter MET_046 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,z_personal,consumption_kwh,38,0.551227937594008,0.551227937594008,0.0
MET_047,Jayanagar,F01,Residential,12.923306806751825,77.59348112715638,NORMAL,50,NORMAL,Meter MET_047 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,28,0.41548396151486433,0.4154839615148644,-1.3360600257315073e-14
MET_048,Jayanagar,F01,Residential,12.91825066226417,77.58801155011031,FLAGGED,100,FEEDER_LOSS,Meter MET_048 flagged: stages IF/peer/feeder = 0/1/1. Personal baseline ~0.50 kWh/interval vs peer cluster ~0.50 in Jayanagar Residential. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,rolling_mean_24h,24,0.502207056369526,0.5022070563695261,-2.210687823964484e-14
MET_049,Jayanagar,F01,Commercial,12.919709201550583,77.5898110126896,FLAGGED,100,FEEDER_LOSS,Meter MET_049 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Jayanagar Commercial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,40,0.5514309093253866,0.5514309093253866,0.0
MET_050,Jayanagar,F01,Industrial,12.926599096906894,77.59017808377857,FLAGGED,100,FEEDER_LOSS,Meter MET_050 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Jayanagar Industrial. Feeder F01 also shows ~25% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,z_personal,28,1.4400601355782585,1.4400601355782587,-1.5419120315824095e-14
MET_051,Indiranagar,F02,Residential,12.976887349783842,77.64599691319114,NORMAL,50,NORMAL,Meter MET_051 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,23,0.41528793012164283,0.41528793012164283,0.0
MET_052,Indiranagar,F02,Commercial,12.976974944115756,77.64375006227387,FLAGGED,100,FEEDER_LOSS,Meter MET_052 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Indiranagar Commercial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,42,0.5515395963177003,0.5515395963177003,0.0
MET_053,Indiranagar,F02,Residential,12.974665529279962,77.63997824976853,NORMAL,50,NORMAL,Meter MET_053 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,18,0.4151710581033529,0.4151710581033529,0.0
MET_054,Indiranagar,F02,Residential,12.974599911780356,77.6394438676964,NORMAL,50,NORMAL,Meter MET_054 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,27,0.4151080272005779,0.4151080272005779,0.0
MET_055,Indiranagar,F02,Commercial,12.98176123254983,77.63389071830723,FLAGGED,100,FEEDER_LOSS,Meter MET_055 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Indiranagar Commercial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,z_personal,43,0.551766224967933,0.551766224967933,0.0
MET_056,Indiranagar,F02,Residential,12.980137694574184,77.64175094240933,NORMAL,50,NORMAL,Meter MET_056 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,25,0.41536086612307915,0.41536086612307915,0.0
MET_057,Indiranagar,F02,Industrial,12.976023400177214,77.63501576858245,FLAGGED,100,FEEDER_LOSS,Meter MET_057 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Indiranagar Industrial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,rolling_mean_24h,23,1.4416497090838174,1.4416497090838174,0.0
MET_058,Indiranagar,F02,Commercial,12.978688518030856,77.63868202916375,FLAGGED,100,FEEDER_LOSS,Meter MET_058 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Indiranagar Commercial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,rolling_std_7d,day_of_week,z_personal,31,0.551572285625125,0.551572285625125,0.0
MET_059,Indiranagar,F02,Residential,12.97933070484542,77.64088740858209,NORMAL,50,NORMAL,Meter MET_059 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.86 kWh/interval vs peer cluster ~0.86 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,69,0.8562289071434978,0.8562289071434978,0.0
MET_060,Indiranagar,F02,Residential,12.984807115565284,77.6398425774901,NORMAL,50,NORMAL,Meter MET_060 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,23,0.4160137046827916,0.4160137046827916,0.0
MET_061,Indiranagar,F02,Commercial,12.974306010029514,77.64151710253982,FLAGGED,100,FEEDER_LOSS,Meter MET_061 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~0.55 kWh/interval vs peer cluster ~0.55 in Indiranagar Commercial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,44,0.5514062262950674,0.5514062262950673,2.0134394057985416e-14
MET_062,Indiranagar,F02,Residential,12.979279986735888,77.64623675030096,NORMAL,50,NORMAL,Meter MET_062 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,21,0.4151165120553242,0.4151165120553242,0.0
MET_063,Indiranagar,F02,Residential,12.98174044498366,77.6422274842366,NORMAL,50,NORMAL,Meter MET_063 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,28,0.41567671268518275,0.41567671268518275,0.0
MET_064,Indiranagar,F02,Industrial,12.984253211564878,77.63604494778271,FLAGGED,100,FEEDER_LOSS,Meter MET_064 flagged: stages IF/peer/feeder = 1/0/1. Personal baseline ~1.44 kWh/interval vs peer cluster ~1.44 in Indiranagar Industrial. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,day_of_week,rolling_std_7d,consumption_kwh,25,1.4422798875399032,1.4422798875399032,0.0
MET_065,Indiranagar,F02,Residential,12.975840993869,77.63709369623437,NORMAL,50,NORMAL,Meter MET_065 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,30,0.41534719259348124,0.41534719259348124,0.0
MET_066,Indiranagar,F02,Residential,12.976840760787375,77.63529325540978,NORMAL,50,NORMAL,Meter MET_066 flagged: stages IF/peer/feeder = 0/0/1. Personal baseline ~0.42 kWh/interval vs peer cluster ~0.42 in Indiranagar Residential. Feeder F02 also shows ~26% aggregate mismatch vs meter sum.,consumption_kwh,hour_of_day,rolling_mean_24h,32,0.41543851598006004,0.41543851598006,1.3362061796389198e-14
